Order,Family,CommonName,Genus,Species,SubSpecies,SpecificLocation,Sex,M,Mref,K,Linf,GrowthRef,tmax,tmaxRef,Temp
Tetraodontiformes,Balistidae,queen triggerfish,Balistes,vetula,na,"Pedro Bank, Jamaica",c,2.6,"Aiken, 1983",0.57,450,"Aiken, 1983",,,28
Perciformes,Serranidae,coney,Cephalopholis,fulva,na,"Pedro Bank, Jamaica",c,0.55,"Thompson & Munro, 1978",0.63,340,"Thompson & Munro, 1978",,,27
Perciformes,Serranidae,estuary rockcod,Epinephelus,coioides,na,"Pilbara coast, Australia",c,0.29,"Pember et al., 2005",0.15,1082,"Pember et al., 2005",22,"Pember et al., 2005",26.9
Perciformes,Serranidae,Malabar grouper,Epinephelus,malabaricus,na,"Pilbara coast, Australia",c,0.17,"Pember et al., 2005",0.1,1278,"Pember et al., 2005",31,"Pember et al., 2005",26.9
Perciformes,Glaucosomatidae,pearl perch,Glaucosoma,buergeri,na,"Pilbara coast, Australia",c,0.14,"Newman, 2002a",0.139,512.7,"Newman, 2002a",26,"Newman, 2002a",26.9
Perciformes,Gobiidae,starry goby,Asterropteryx,semipunctatus,na,"Pioneer Bay, Orpheus Island",m,4.304,"Hernaman & Munday, 2005b",1.095,77.1,"Hernaman & Munday, 2005a",1.25,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,Goldman's goby,Istigobius,goldmanni,na,"Pioneer Bay, Orpheus Island, Australia",f,5.07,"Hernaman & Munday, 2005b",1.46,64.8,"Hernaman & Munday, 2005a",0.88,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,mural goby,Valenciennea,muralis,na,"Pioneer Bay, Orpheus Island, Australia",c,4.87,"Hernaman & Munday, 2005b",2.555,106.1,"Hernaman & Munday, 2005a",0.99,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,Bynoe goby,Amblygobius,bynoensis,na,"Pioneer Bay, Orpheus Island, Australia",c,4.05,"Hernaman & Munday, 2005b",1.46,117.1,"Hernaman & Munday, 2005a",1.03,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,whitebarred goby,Amblygobius,phalaena,na,"Pioneer Bay, Orpheus Island, Australia",c,3.82,"Hernaman & Munday, 2005b",1.825,114.4,"Hernaman & Munday, 2005a",1.13,"Hernaman & Munday, 2005a",25.8
Scorpaeniformes,Cottidae,rough sculpin,Cottus,asperrimus,na,"Pit River System, California",c,0.97,"Daniels, 1987",0.18,92.4,"Daniels, 1987",5,"Daniels, 1987",9.3
Perciformes,Callionymidae,dragonet,Callionymus,lyra,na,"Plymouth, English Channel",f,1.146,"*Chang, 1951",0.55,174,"*Chang, 1951",6,"Chang, 1951",12
